Company Name,Rating,Job Title,Location
Railistics GmbH,4.5,Data Analyst / Project Team (m/w/d),Dessau-Roßlau
Ingenieurbüro Zammit GmbH,3.5,Data Analyst (m/w/d),Salzgitter
Platform 6 Ltd,4.2,ServiceNow HRSD Developer - Berlin or Amsterdam or Warsaw or Stockholm - Hybrid / remote working,Germany
SumUp,4.0,Senior Data Analyst - Finance,Berlin
Stadtwerke Hamm GmbH,3.9,Controller / Nachhaltigkeitsmanager (m/w/d),Hamm
Delivery Hero,4.2,"Associate, Pricing Analyst",Berlin
PUMA,3.9,IT ANALYST - DATA ENGINEERING,Herzogenaurach
Schmieder GmbH,3.8,ETL Developer (m/w/d) / Data Analyst (m/w/d),Überlingen
Convolut,3.5,Business & Data Analyst (all genders),Munich
Proinnovera GmbH,3.8,Project Controlling / Data Analyst (m/w/d),Münster
Deutsche Telekom MMS GmbH,3.8,Cloud Data Analyst (m/w/d),Berlin
Project A Ventures,4.0,Senior Data Analyst - Project A (m/f/d),Berlin
VHV Gruppe,3.6,Data- und Business Analyst (w/m/d) im Bereich private Kfz-Versicherung,Hannover
Wort & Bild Verlag Konradshöhe GmbH & Co. KG,3.6,Data Analyst (w/m/d),Leipzig
Rügenwalder Mühle Carl Müller GmbH & Co. KG,3.7,"Researcher / Data Analyst (m/w/d) - befristet für 1,5 Jahre",Hamburg
Aldi Nord,3.9,WerkstudentIn (m/w/d) Data Analyst,Essen
Baumlink,3.9,Business Analyst - Financial Market Data*,Munich
Brandfit GmbH,3.8,Freelancer Data Analyst (m/w/d),Essen
GoParts Technology GmbH,2.8,Data Analyst – Automotive Aftermarket (m/w/d),Germany
cavalis,3.7,(Associate) Data Analyst & Management Consultant,Munich
LÖWEN ENERTAINMENT,3.4,Business Intelligence Specialist / Data Analyst (m|w|d),Hamburg
Adidas,3.5,Business Analyst - 20 hours Intersport International (M/F/D),Herzogenaurach
RTL Deutschland GmbH,4.3,Digital Data Analyst (w/m/d),Hamburg
von Poll Immobilien GmbH,3.9,Data Analyst (w/m/d) – Data Visualization (Tableau),Frankfurt am Main
Tesla,4.4,Loss Prevention Data Analyst Internship (m/w/d) - Gigafactory Berlin-Brandenburg,Grünheide (Mark)
Selby Jennings,2.6,Quant Researcher,Köln
Michelin,3.6,Data Analyst (m/w/d),Bad Kreuznach
Elis Group Services GmbH,4.0,Data Analyst / Data Engineer (m/w/d),Germany
C&S Career and Success Personal Service GmbH,4.2,Customer Data Analyst (m/w/d),Düsseldorf
Falke,3.5,Business Data Analyst (m/w/d),Düsseldorf
Verve Group,4.7,Business Analyst CEO Office (w/m/d),Home office
accantec group,2.7,Senior Data Analyst (m/w/d),Hamburg
Glüpker Blechtechnologie,3.2,Data Analyst (m/w/d),Neuenhaus
Enter by baupal GmbH,3.6,BI Analyst (f/m/d),Berlin
ERDMANN-Softwaregesellschaft,3.6,Data Scientist / Data Analyst (m/w/d),Görlitz
FERCHAU GmbH,3.9,Business Intelligence Analyst (m/w/d),Bremen
Infineon Technologies,3.8,(Senior) Engineer Stability and Digitalization (w/m/div),Dresden
Mabanaft GmbH & Co. KG,2.8,Business Analyst (m/w/d) in Hamburg,Berlin
European DataWarehouse GmbH,3.7,Structured Finance Data Analyst (m/f/d) Native Level Speaker in Spanish,Frankfurt am Main
jember GmbH,3.9,DATA ANALYST* MOBILFUNK,Munich
MEDICE Arzneimittel Pütter GmbH & Co. KG,4.3,(Junior) Data Analyst Sales Force (m/w/i),Iserlohn
BMG RIGHTS MANAGEMENT GmbH - Corporate,3.1,Senior Data Analyst (f/m/d),Berlin
SIEGER Consulting GmbH,3.0,Data Analyst im Bereich Business Intelligence und Reporting (m/w/d),Köln
